unit_ID,spikesorting_ID,quality,depth,area
1,239,1,49.991,PFC
2,7,1,65.2816,PFC
3,240,0,65.3995,PFC
4,13,0,72.9422,PFC
5,5,0,73.7638,PFC
6,11,0,73.9915,PFC
7,12,1,75.2989,PFC
8,10,0,81.9924,PFC
9,241,0,83.1846,PFC
10,9,1,84.5052,PFC
11,14,0,90.2742,PFC
12,242,0,106.9998,PFC
13,16,0,107.4542,PFC
14,0,0,111.532,PFC
15,15,1,117.4687,PFC
16,22,0,129.4876,PFC
17,2,1,143.5534,PFC
18,25,0,144.4169,PFC
19,21,0,147.3831,PFC
20,20,0,153.8409,PFC
21,6,0,158.0369,PFC
22,4,0,159.8925,PFC
23,8,0,163.6876,PFC
24,27,0,165.649,PFC
25,307,1,172.0308,PFC
26,28,0,173.6469,PFC
27,1,0,175.6405,PFC
28,3,0,178.8039,PFC
29,17,1,179.7946,PFC
30,26,0,180.7153,PFC
31,24,0,182.9751,PFC
32,243,0,184.0636,PFC
33,244,0,191.2409,PFC
34,19,1,191.7768,PFC
35,18,1,193.3229,PFC
36,23,0,194.1255,PFC
37,245,0,200.3853,PFC
38,31,1,212.0409,PFC
39,29,0,218.3728,PFC
40,30,0,221.1938,PFC
41,33,0,221.4937,PFC
42,35,0,227.687,PFC
43,32,0,230.0889,PFC
44,37,0,254.1045,PFC
45,34,0,257.9584,PFC
46,247,0,260.0717,PFC
47,36,0,266.0567,PFC
48,246,0,267.5475,PFC
49,38,0,267.7501,PFC
50,41,0,270.4111,PFC
51,248,0,273.6545,PFC
52,249,0,274.3247,PFC
53,39,0,282.5302,PFC
54,42,0,287.8435,PFC
55,40,0,288.1507,PFC
56,44,0,301.7668,PFC
57,45,0,319.1137,PFC
58,46,0,324.3896,PFC
59,43,0,327.5684,PFC
60,47,0,370.1331,PFC
61,49,0,391.3436,PFC
62,48,0,396.109,PFC
63,52,0,400.6818,PFC
64,50,0,401.4875,PFC
65,51,1,409.4651,PFC
66,54,1,421.2658,PFC
67,60,0,431.7182,PFC
